id,name,type,lat,lon,speciality,street,locality,city,state,district,postcode,phone,website,opening_hours,amenity,healthcare,address_full
,Dr. Tanna Path Lab,clinic,23.2424093,69.6733156,,,,,,,,,,,,,
,Niral Heart and Medicare and Skin Clinic,clinic,23.2406148,72.5004199,,,,,Gujarat,Gandhinagar,382721.0,,,,,,
,Trimurti Hospital,doctors,21.5210769,70.4540661,,,,,Gujarat,Junagadh,362001.0,,,24/7,,,
,spa clinic,clinic,22.8345552,69.6536352,,,,,,,,,,,,,
,health clinic,clinic,22.8342967,69.6536265,,,,,,,,,,,,,
,Sarva Sewa Sangh,doctors,22.8397745,69.7249143,radiology;diagnostic_radiology;dentist;physiotherapy;general;ophthalmology,Mundra - Baroi road,,Mundra,,,,,,,,,
,Ortho Kids Clinic,clinic,23.018609,72.5297897,,,,,Gujarat,Ahmedabad,380052.0,,,,,,
,Om Ent and Sinus Clinic,clinic,21.7686081,72.1442771,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Alpana Clinic,clinic,22.2569913,73.2066008,,,,,Gujarat,Vadodara,390010.0,,,,,,
,Rushabh Nursing Home and Clinic,clinic,22.2748253,73.1951036,,,,,Gujarat,Vadodara,390011.0,,,,,,
,Vora Clinic And and Endoscopy Centre,clinic,22.4635396,70.0608927,,,,,Gujarat,Jamnagar,361005.0,,,,,,
,Priyal Clinic,clinic,22.2998124,73.2212457,,,,,Gujarat,Vadodara,390019.0,,,,,,
,"Raj Nursing Home, Ahmedabad",clinic,23.0524295,72.6002191,,,,,Gujarat,Ahmedabad,380016.0,,,,,,
,Talsania Clinic,clinic,23.0178468,72.5582948,,,,,Gujarat,Ahmedabad,380006.0,,,,,,
,"Community Health Centre, Singarva",clinic,23.0252575,72.6897398,,,,,Gujarat,Ahmedabad,,,http://www.rsby.gov.in/Districtwise.aspx,,,,
,Kadam Maternity Home and Sonography Clinic,clinic,23.0061658,72.5959302,,,,,Gujarat,Ahmedabad,380022.0,,,,,,
,"CHC, Haldarvas",clinic,22.9382053,72.8640747,,,,,Gujarat,Kheda,387110.0,,,,,,
,Acharya Nursing Home and Icu,clinic,22.3261721,73.155714,,,,,Gujarat,Vadodara,390023.0,,,,,,
,Niyati Clinic,clinic,23.8051404,72.3941329,,,,,Gujarat,Mahesana,384170.0,,,,,,
,Kalyani Nursing Home and Sonography Clinic,clinic,23.1022078,72.571388,,,,,Gujarat,Ahmedabad,380019.0,,,,,,
,Trivedi Polyclinic and Nursing Home,clinic,23.6080308,72.3829521,,,,,Gujarat,Mahesana,384002.0,,,,,,
,Kahoda CHC,clinic,23.8908848,72.4386462,,,,,Gujarat,MAHESANA,384130.0,,,,,,
,Hemato-Oncology Clinic,clinic,23.0402628,72.5598451,,,,,Gujarat,Ahmedabad,380004.0,,,,,,
,"Savalia Hospital, (Dr. Anjana J Savalia)",doctors,23.0333438,72.6377883,,,,,Gujarat,Ahmedabad,380024.0,,,,,,
,Hina Maternity Nursing Home,clinic,23.056809,72.5450407,,,,,Gujarat,Ahmedabad,380013.0,,,,,,
,Smruti Eye Hospital,clinic,23.0395468,72.6302717,,,,,Gujarat,Ahmedabad,380025.0,,,,,,
,Shivam Eye Hospital,clinic,22.9994009,72.6359743,,,,,Gujarat,Ahmedabad,380026.0,,,,,,
,Kamubala Poly Clinic,clinic,22.3439198,73.1759928,,,,,Gujarat,Vadodara,390002.0,,,,,,
,Judal Surgical and Gynec Hospital,clinic,24.1707713,72.428323,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Rishabh Nursing Home,clinic,22.3211998,73.1588729,,,,,Gujarat,Vadodara,390023.0,,,,,,
,Chhaya Maternity Nursing Home,clinic,22.9798599,72.599806,,,,,Gujarat,Ahmedabad,382443.0,,,,,,
,Mangeet Medical Nursing Home and Heart Care,clinic,23.0187491,72.5542206,,,,,Gujarat,Ahmedabad,380006.0,,,,,,
,Pruthvi Hospital,clinic,24.1691684,72.4355127,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Shrey Nursing Home and Iccu,clinic,22.2972923,73.2010312,,,,,Gujarat,Vadodara,390001.0,,,,,,
,"Welfare Clinic, Bharuch",clinic,21.7031884,72.9660141,,,,,Gujarat,Bharuch,392150.0,,,,,,
,Nishtha Eye Clinic,clinic,21.6222172,73.0033699,,,,,Gujarat,Vadodara,393002.0,,,,,,
,Soni Clinic,clinic,21.6341128,72.9934657,,,,,Gujarat,Bharuch,393001.0,,,,,,
,Aditya Oral And Maxillofacial Clinic,clinic,22.3002988,73.199544,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Purna Nursing Home,clinic,23.1160118,70.0321501,,,,,Gujarat,Kachchh,370110.0,,,,,,
,Prutha Maternity Nursing Home,clinic,22.3204963,73.1972091,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Dr. Kaushik Vaidhya Medical Nursing Home,clinic,23.0567189,72.5449233,,,,,Gujarat,Ahmedabad,380063.0,,,,,,
,Dr. Girish K. Zinzuvadia,doctors,22.3040081,73.2007161,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Swar Clinic,clinic,22.3036229,73.2002735,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Royal Maternity and Nursing Home,clinic,23.0306956,72.4726787,,,,,Gujarat,Ahmedabad,380058.0,,,,,,
,Shital Maternity and Nursing Home,clinic,23.5535207,72.6191702,,,,,Gujarat,Mahesana,382830.0,,,,,,
,Utkarsh Clinic,clinic,22.326476,73.1555665,,,,,Gujarat,Vadodara,390023.0,,,,,,
,Ronak Maternity and Surgical Nursing Home,clinic,23.8522968,72.1265906,,,,,Gujarat,Patan,384265.0,,,,,,
,Navjivan Maternity and Nursing Home,clinic,23.8521508,72.1220241,,,,,Gujarat,Patan,384265.0,,,,,,
,Aarti Hospital and Maternity Home,clinic,24.1708612,72.4282962,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Swami Madhav Nursing Home,clinic,21.7046042,72.99615,,,,,Gujarat,Bharuch,392001.0,,,,,,
,Saujanya Nursing Heart Care,clinic,20.6100204,72.9269779,,,,,Gujarat,Valsad,396001.0,,,,,,
,Jeevanrekha Hospital (Dr. Keyur J. Baxi),doctors,22.4674057,70.072215,,,,,Gujarat,Jamnagar,361008.0,,,,,,
,Matrutva Nursing Home,clinic,21.1988403,72.7950494,,,,,Gujarat,Surat,395009.0,,,,,,
,Nikhar Surgical Hospital,clinic,24.1744098,72.4330824,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Guru Orthopeadic Hospital,clinic,24.173517,72.4174676,orthopaedics,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Saarthi Surgical Hospital and Endoscopy Centre,clinic,24.1709198,72.4272162,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,"Sagar Orthopaedic Hospital, Banas kantha",clinic,24.1708108,72.4283466,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Upvan Hospital and Laparoscopy Center,clinic,24.1684563,72.4351332,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Aastha Orthopaedic Hospital,clinic,24.1707294,72.4289156,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Shah Heart and Medical Hospital,clinic,24.1745015,72.432686,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,"Suraj Hospital, Banaskantha",clinic,24.172056,72.431134,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Sushrut Surgical Hospital,clinic,24.1708134,72.4246648,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Aman Phaco Surgery,clinic,24.169905,72.4282908,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Kidney Care Hospital,clinic,24.1725342,72.4238289,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Jeevandeep Children Hospital,clinic,24.1729771,72.4175511,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Shreenath Clinic,clinic,22.3022255,73.1971614,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Zainab Nursing Home,clinic,22.8322742,74.2522142,,,,,Gujarat,Dahod,389151.0,,,,,,
,Kaizar Medical Nursing Home,clinic,22.8414719,74.2498737,,,,,Gujarat,Dahod,389151.0,,,,,,
,Shraddha Nursing Home,clinic,22.8320736,74.261924,,,,,Gujarat,Dahod,389151.0,,,,,,
,Dhruv Health Care,clinic,22.9925296,72.6318021,,,,,Gujarat,Ahmedabad,380001.0,,,,,,
,Vidya Nursing Home,clinic,20.7697167,72.9702935,,,,,Gujarat,Navsari,396321.0,,,,,,
,Prarthana Maternity and Nursing Home,clinic,21.1923021,72.7999672,,,,,Gujarat,Surat,395009.0,,,,,,
,Matulya ENT Clinic,clinic,23.0200451,72.5298192,,,,,Gujarat,Ahmedabad,380015.0,,http://www.rsby.gov.in/Districtwise.aspx,,,,
,Shashvat Child Care,clinic,22.9910938,72.6174791,,,,,Gujarat,Ahmedabad,380008.0,,,,,,
,Riddhi Medical Nursing Home,clinic,22.993832,72.6037985,,,,,Gujarat,Ahmedabad,380008.0,,,,,,
,"CHC, Jotana",clinic,23.4661287,72.2964569,,,,,Gujarat,Mahesana,384421.0,,,,,,
,Modi Eye Care,clinic,23.0578438,72.5497999,,,,,Gujarat,Ahmedabad,380009.0,,,,,,
,Shruti Maternity and Surgical Nursing Home,clinic,23.0566239,72.5448717,,,,,Gujarat,Ahmedabad,380063.0,,,,,,
,Raghudeep Eye Clinic,clinic,23.0469763,72.5276975,,,,,Gujarat,Ahmedabad,380052.0,,,,,,
,Samdev Urology and Surgery Clinic,clinic,23.0402999,72.5583807,,,,,Gujarat,Ahmedabad,380009.0,,,,,,
,Nova Pulse Ivf Clinic Ahmedabad Pvt.Ltd.,clinic,23.0385165,72.5585751,,,,,Gujarat,Ahmedabad,380009.0,,https://www.novaivifertility.com/,,,,
,Pruthvi Medical Nursing Home and Heart Centre,clinic,23.0477513,72.5626641,,,,,Gujarat,Ahmedabad,380014.0,,http://pruthvihospital.com/,,,,
,Dr. Vasant M. Patel,doctors,22.2956706,73.1998256,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Nene Clinic,clinic,22.3177998,73.1483225,,,,,Gujarat,Vadodara,390021.0,,,,,,
,Kirenben Maternity And Nursing Home,clinic,23.02251,72.5117853,,,,,Gujarat,Ahmedabad,380015.0,,,,,,
,Parth Maternity and Medical Nursing Home,clinic,23.0542201,72.6429051,,,,,Gujarat,Ahmedabad,382346.0,,http://www.rsby.gov.in/Districtwise.aspx,,,,
,Dr. Kumars Clinic,clinic,22.3341915,73.1807578,,,,,Gujarat,Vadodara,390002.0,,,,,,
,"Shivam Eye Care, Kachchh",clinic,23.0683091,70.1269957,,,,,Gujarat,Kachchh,370201.0,,,,,,
,"Kalpana Maternity and Nursing Home, Ahmedabad",clinic,23.0636536,72.5310852,,,,,Gujarat,Ahmedabad,380061.0,,,,,,
,Dr. Vipul J. Mistry,doctors,22.3209126,73.1590473,,,,,Gujarat,Vadodara,390023.0,,,,,,
,Dharti Hospital,clinic,24.1743965,72.4325247,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Naman Neurosurgical Nursing Home,clinic,22.2881521,70.7949637,,,,,Gujarat,Rajkot,360001.0,,,,,,
,Vatsalya Maternity Nursing Home,clinic,23.0344821,72.5212294,,,,,Gujarat,Ahmedabad,380054.0,,,,,,
,Meeta Hospital,clinic,24.1730519,72.4221405,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Govind Clinic and Retinal Laser Centre,clinic,22.3041527,73.199027,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Narayani ENT Clinic,clinic,23.2147921,72.642971,otolaryngology,,,Gandhinagar,Gujarat,,382010.0,,,,,,
,Palanpur Female Hospital,clinic,24.1741053,72.4359418,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Dr Praful Munishi's Nursing Home,clinic,23.0197773,72.5653967,,,,,Gujarat,Ahmedabad,380006.0,,,,,,
,Sparsh Orthopedic Oncology Clinic,clinic,23.0231938,72.5699329,,,,,Gujarat,Ahmedabad,380006.0,,,,,,
,Dr. Rupa Jain Eye Clinic,clinic,22.3094054,73.1737284,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Ratan Deep Surgical And Endoscopy Clinic,clinic,22.9990078,72.6082449,,,,,Gujarat,Ahmedabad,380008.0,,,,,,
,Kukarvada CHC,clinic,23.5511197,72.6169306,,,,,Gujarat,MAHESANA,382830.0,,,,,,
,Saurabh Clinic,clinic,22.3396718,73.1925716,,,,,Gujarat,Vadodara,390024.0,,,,,,
,"Geeta Nursing Home, Ahmedabad",clinic,23.0026356,72.5971751,,,,,Gujarat,Ahmedabad,380028.0,,,,,,
,Janani Prasuti Gruh And Sonography Clinic,clinic,21.7681711,72.138873,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Dr.Santosh C.Raibagkar,doctors,23.0199612,72.5604567,,,,,Gujarat,Ahmedabad,380001.0,,,,,,
,Sejal Clinic,clinic,20.7969377,70.6976217,,,,,Gujarat,Junagadh,362720.0,,,,,,
,Retina Clinic,clinic,21.1824748,72.8189204,,,,,Gujarat,Surat,395001.0,,,,,,
,Park Nursing Home and Diagnostic Clinic (P) Ltd,clinic,21.1737523,72.8175686,,,,,Gujarat,Surat,395001.0,,,,,,
,Stavan Eye Clinic,clinic,23.011259,72.5645041,,,,,Gujarat,Ahmedabad,380007.0,,,,,,
,Poojan Maternity and Infertility Clinic,clinic,23.0730915,72.6528548,,,,,Gujarat,Ahmedabad,382330.0,,,,,,
,Uma Maternity and Nursing Home,clinic,23.0662385,72.6627067,,,,,Gujarat,Ahmedabad,382330.0,,,,,,
,Suvidha Nursing Home,clinic,22.5592447,72.9607911,,,,,Gujarat,Anand,388001.0,,,,,,
,Dr. Umesh D. Buch,doctors,23.0016724,72.5479241,,,,,Gujarat,Ahmedabad,380007.0,,,,,,
,Shraddha Clinic,clinic,21.8703716,73.50202,,,,,Gujarat,Narmada,393145.0,,,,,,
,"Aaram Nursing Home, Baroda",clinic,22.3024286,73.2021095,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Dr. Dandekar Eye Clinic And Surgery Centre,clinic,22.2986957,73.1999483,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Pankit Nursing Home,clinic,23.0397778,72.5661081,,,,,Gujarat,Ahmedabad,380014.0,,,,,,
,Ameera Polyclinic And Nursing Home Kosamba,clinic,21.46393,72.9558317,,,,,Gujarat,Surat,394120.0,,,,,,
,Ratan Prastrutigruh Nursing Home,clinic,24.5025635,72.0321769,,,,,Gujarat,Banas kantha,385310.0,,,,,,
,Dr. Rajendra C. Patel Orthopaedic Nursing Home,clinic,23.0315465,72.5653041,,,,,Gujarat,Ahmedabad,380009.0,,,,,,
,Kapadia Clinic,clinic,21.7043531,72.9959267,,,,,Gujarat,Bharuch,392001.0,,,,,,
,Sarjan Maternity and Nursing Home,clinic,23.0023131,72.5483291,,,,,Gujarat,Ahmedabad,380007.0,,,,,,
,Rituma Clinic,clinic,22.3093762,73.1666668,,,,,Gujarat,Vadodara,390007.0,,,,,,
,"CHC, Valod",clinic,21.0487688,73.2638318,,,,,Gujarat,Surat,394640.0,,,,,,
,Eye Laser Center,clinic,21.1847577,72.8129836,,,,,Gujarat,Surat,395001.0,,,,,,
,Anuj Eye Hospital And Retina Clinic,clinic,22.555793,72.9621309,,,,,Gujarat,Anand,388001.0,,,,,,
,"Usha Nursing Home, Anand",clinic,22.5548443,72.967038,,,,,Gujarat,Anand,388001.0,,,,,,
,"Prabhu Nursing Home, Ahmedabad",clinic,22.9993553,72.6357423,,,,,Gujarat,Ahmedabad,380026.0,,,,,,
,Om Surgical Nursing Home,clinic,23.0179184,72.5582573,,,,,Gujarat,Bhavnagar,364002.0,,,,,,
,"CHC, Mandal",clinic,23.2890617,71.9157475,,,,,Gujarat,Ahmedabad,382130.0,,,,,,
,Dr. Rana Nursing Home,clinic,20.950431,72.9133335,,,,,Gujarat,Navsari,396445.0,,,,,,
,"Mahavir Nursing Home, Anand",clinic,22.4128386,72.8996971,,,,,Gujarat,Anand,388540.0,,,,,,
,Jay Prasuti Gruh and Nursing Home,clinic,23.0282894,72.4778487,,,,,Gujarat,Ahmedabad,380058.0,,,,,,
,Dr.Haroonbhai Jusabbhai Memon,doctors,23.0273162,72.5860812,,,,,Gujarat,Ahmedabad,380001.0,,,,,,
,"Pooja Nursing Home, Vadodara",clinic,22.2920088,73.1950727,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Shruti Ent Clinic,clinic,22.3189195,73.2118191,,,,,Gujarat,Vadodara,390018.0,,,,,,
,Vishwa Ent Clinic,clinic,21.2069136,72.838363,,,,,Gujarat,Surat,395003.0,,,,,,
,Detroj CHC,clinic,23.336892,72.1870409,,,,,Gujarat,AHMEDABAD,382120.0,,,,,,
,Dr Dipak L Mehta Clinic,clinic,23.21179,72.6466826,surgery,,,Gandhinagar,Gujarat,,382007.0,,,,,,
,Dharm Dental Clinic,clinic,23.2935006,72.3277254,,,,,Gujarat,Mahesana,382715.0,,,,,,
,Vrund Clinic,clinic,22.3301493,73.2060577,,,,,Gujarat,Vadodara,390002.0,,,,,,
,Uday Clinic,clinic,22.3011599,73.2271251,,,,,Gujarat,Vadodara,390019.0,,,,,,
,"Sanghavi Hospital, Banas kantha",clinic,24.1705994,72.4290291,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Advanced Eye Care Clinic,clinic,22.2946264,73.149683,,,,,Gujarat,Vadodara,390007.0,,,,,,
,Shree Vallabh Nursing Home,clinic,22.299403,73.2297724,,,,,Gujarat,Vadodara,390019.0,,,,,,
,Dr Dijesh Shahs Meru Nurshing Home,clinic,21.761038,72.139425,,,,,Gujarat,Bhavnagar,364002.0,,,,,,
,Dodia Nursing Home,clinic,21.207485,72.7932765,,,,,Gujarat,Surat,395009.0,,,,,,
,Bhakti Maternity and Sonography Clinic,clinic,23.0014002,72.6355927,,,,,Gujarat,Ahmedabad,380026.0,,,,,,
,"CHC, Navagam",clinic,22.7995623,72.5789284,,,,,Gujarat,Kheda,387540.0,,,,,,
,Shaishav Nursing Home,clinic,22.2991101,73.2210593,,,,,Gujarat,Vadodara,390017.0,,,,,,
,Ganga Clinic,clinic,22.3025471,73.1975008,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Kanan Maternity and Nursing Home,clinic,22.9977455,72.6091146,,,,,Gujarat,Ahmedabad,380015.0,,,,,,
,"Raj Nursing Home, Anand",clinic,22.5575529,72.9641949,,,,,Gujarat,Anand,388001.0,,,,,,
,"Mehta Clinic, Dahod",clinic,22.8416141,74.2506427,,,,,Gujarat,Dahod,389151.0,,,,,,
,Shiv Sharddha Nursing Home and Super Speciality Clinics,clinic,23.0545162,72.5971869,,,,,Gujarat,Ahmedabad,380004.0,,,,,,
,Parekh Maternity Home and Fertility Clinic,clinic,20.3823331,72.9043454,,,,,Gujarat,Valsad,396191.0,,,,,,
,Banker`S Retina Clinic and Laser Centre,clinic,23.0416302,72.5542541,,,,,Gujarat,Ahmedabad,380009.0,,,,,,
,Zainee Nursing Home,clinic,22.2991784,73.2214509,,,,,Gujarat,Vadodara,390019.0,,,,,,
,CGHS Dispensary No.3,clinic,23.0355015,72.5694904,,,,,Gujarat,Ahmedabad,380014.0,,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,,,,
,City Plaza Eye Clinic,clinic,22.3032283,73.2009548,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Sanidhaya Maternity and Nursing Home,clinic,23.0143203,72.5301518,,,,,Gujarat,Ahmedabad,380015.0,,,,,,
,Siddhi Clinic,clinic,22.3107596,73.1538968,,,,,Gujarat,Vadodara,390023.0,,,,,,
,Dr. Lataben Golwalkar,doctors,21.7703954,72.1603972,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,Arti Hospital and Maternity Home,clinic,24.1707823,72.4287374,,,,,Gujarat,Banas kantha,385001.0,,,,,,
,Baroda Children Eye Care And Squint Clinic,clinic,22.3107832,73.1662685,,,,,Gujarat,Vadodara,390007.0,,,,,,
,Alka IVF Centre Multispeciality Hospita,clinic,23.8855888,72.6214287,,,,,Gujarat,Mahesana,384325.0,,,,,,
,Ami Eye Clinic,clinic,23.0633976,72.5809816,,,,,Gujarat,Ahmedabad,380027.0,,,,,,
,"Jagruti Clinic, Junagadh",clinic,20.912055,70.3640521,,,,,Gujarat,Junagadh,362266.0,,,,,,
,Sehat Hospital Clinic,clinic,22.9932036,72.5258213,,,,,Gujarat,Ahmedabad,380055.0,,,,,,
,Om Eye Clinic,clinic,22.2999762,73.2212283,,,,,Gujarat,Vadodara,390009.0,,,,,,
,"CHC, Waghai",clinic,20.7729324,73.4952776,,,,,Gujarat,Navsari,394730.0,,,,,,
,Charada CHC,clinic,23.4875249,72.6558012,,,,,Gujarat,GANDHINAGAR,382810.0,,,,,,
,Chirag Clinic,clinic,21.7400093,72.1441577,,,,,Gujarat,Bhavnagar,364001.0,,,,,,
,R. Tolat Eye Clinic,clinic,23.0137364,72.560387,,,,,Gujarat,Ahmedabad,380009.0,,,,,,
,Aalap Clinic and Surgical Nursing Home,clinic,23.045074,72.5710642,,,,,Gujarat,Ahmedabad,380014.0,,,,,,
,"Zaveri Nursing Home, Dahod",clinic,22.8394636,74.2526905,,,,,Gujarat,Dahod,389151.0,,,,,,
,Modi Nursing Home and Iccu,clinic,22.3136907,73.145187,,,,,Gujarat,Vadodara,390021.0,,,,,,
,Swar E N T Clinic,clinic,21.7001221,72.9881041,,,,,Gujarat,Bharuch,392001.0,,,,,,
,Minal Clinic,clinic,22.3093874,73.1528896,,,,,Gujarat,Vadodara,390021.0,,,,,,
,Smt. Dipika and Dr. Hasmukhlal C Vankawala,doctors,21.1824848,72.8191316,,,,,Gujarat,Surat,395002.0,,,,,,
,Maharshi Atreya Health Centre - Ayurveda Panchakarma Health Centre,clinic,22.3520058,73.1300104,,,,,Gujarat,Vadodara,391330.0,,,,,,
,"CHC, Medhasan",clinic,23.5455565,73.2237039,,,,,Gujarat,Sabar kantha,383276.0,,,,,,
,Aum Medical Nursing Home,clinic,22.2931814,73.229924,,,,,Gujarat,Vadodara,390019.0,,,,,,
,Rudram Nursing Home,clinic,22.2868038,70.7925665,,,,,Gujarat,Rajkot,360001.0,,,,,,
,"CHC, Balasinor",clinic,22.9485572,73.3324327,,,,,Gujarat,Kheda,388255.0,,,,,,
,Soni Nursing Home,clinic,23.0726584,72.6604924,,,,,Gujarat,Ahmedabad,382330.0,,,,,,
,"Krishna Nursing Home, Vadodara",clinic,22.3356965,73.1783944,,,,,Gujarat,Vadodara,390002.0,,,,,,
,Ashray Clinic,clinic,23.0072793,72.5573789,,,,,Gujarat,Ahmedabad,380001.0,,,,,,
,Lifeline Clinic,clinic,22.2971453,73.1523733,,,,,Gujarat,Vadodara,390020.0,,,,,,
,Nikunj Clinic,clinic,22.2934134,73.2306522,,,,,Gujarat,Vadodara,390019.0,,,,,,
,"Aastha Nursing Home, Bharuch",clinic,21.7029756,72.9947814,,,,,Gujarat,Bharuch,392001.0,,,,,,
,Tejas Maternity and Surgical Nursing Home,clinic,22.291003,70.8083338,,,,,Gujarat,Rajkot,360001.0,,,,,,
,Sangam Critical Care and Trauma Centre,clinic,22.3205888,73.2116555,,,,,Gujarat,Vadodara,390021.0,,,,,,
,Kathlal CHC,clinic,22.8983837,72.9901747,,,,,Gujarat,KHEDA,387630.0,,,,,,
,Apara Nursing Home,clinic,22.5569733,72.9652919,,,,,Gujarat,Anand,388001.0,,,,,,
,Urmi Nursing Home,clinic,21.7031152,72.9952911,,,,,Gujarat,Bharuch,392001.0,,,,,,
,Dr. Suresh K. Bhanshali,doctors,23.0376687,72.5652552,,,,,Gujarat,Ahmedabad,380009.0,,,,,,
,Accurate Dialysis Centre,clinic,21.5210828,70.4513486,,,,,Gujarat,Junagadh,362001.0,,,,,,
,Cardio Vascular Clinic - Ahmedabad,clinic,23.0128822,72.5216398,,,,,Gujarat,Ahmedabad,380015.0,,,,,,
,Urvashi Nursing Home,clinic,23.0342994,72.5802205,,,,,Gujarat,Ahmedabad,380001.0,,,,,,
,Navin Maternity and Surgical Nursing Home,clinic,22.5585945,72.9623468,,,,,Gujarat,Anand,388001.0,,,,,,
,Mahalaxmi Maternity Nursing Home and Sonography Center,clinic,23.0804227,72.5355068,,,,,Gujarat,Ahmedabad,380061.0,,,,,,
,Dr. Shreyas H. Shah,doctors,22.3039839,73.2006718,,,,,Gujarat,Vadodara,390001.0,,,,,,
,Raj E N T Clinic,clinic,23.4686296,73.2960163,,,,,Gujarat,Sabar kantha,383315.0,,,,,,
,Shreeji Clinic and Nursing Home,clinic,23.0835144,72.5911599,,,,,Gujarat,Ahmedabad,380005.0,,,,,,
,"Mehta Nursing Home, Vadodara",clinic,22.3259847,73.1546686,,,,,Gujarat,Vadodara,390023.0,,,,,,
,Shree Hari Clinic,clinic,23.0159755,72.5136414,,,,,Gujarat,Ahmedabad,380051.0,,,,,,
,Nupoor Nursing Home,clinic,21.1705221,72.7945398,,,,,Gujarat,Surat,395007.0,,,,,,
