Clinic Name,Speciality,City,State,Contact,Opening Hours,Address
Ashish Nursing Home,,,Maharashtra,9975525910,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"B Wing 106 ,Shroff Apts, Sodawala Lane, Mandpeshwar Road, Op. Axis Bank"
Shiv Polyclinic and Nursing Home,,,Maharashtra,9587007026,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"16/1,Prem Nivas, Laxmi Colony, Mahul Road, Near Ashish Theatre, Chembur"
Excel Urology Centre,,,Maharashtra,9716338138,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Opposite Basant Theatre,CG Road,Chembur"
L.C.Manek's Polyclinic and Nursing Home,,,Maharashtra,9569854000,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Parvati Palace,Shivpuri Compound, St Road,Near Akabarally Chembur"
Pooja Nursing Home - Thane,,,Maharashtra,9632996695,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Floor, Shridhar Smruti, Opposite Bajaj Allianz Gen. Insu. Co. Ltd., Gokhale Road, Naupada, Thane ( W )"
Sukhad Nursing Home,,,Maharashtra,9658084787,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Bhandara
Kukde Nursing Home,,Bhandara City,Maharashtra,9552271995,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Mahel Road,Lokshahir Anna Bhau Sathe Square"
Dr.Guptas Nursing Home,,,Maharashtra,9098661002,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"D/6, Rani Sati Nagar, S V Road, Malad(W)"
Asha Polyclinic and Sheetal Nursing Home,,,Maharashtra,9106306723,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"145, 60 Ft. Road, Opposite Icicii Bank, Ghatkopar (E)"
Dr. Khandekar Accident Clinic,,,Maharashtra,9675225399,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Nath-Krupa, Plot No. 2, Road 1, Sector 1 New Panvel (E) Near Petrol Pump"
Dr Smita Mukherjees Eye Clinic,,,Maharashtra,9923710235,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Nav Bhartiya Bhavan, 19th Road, Chembur"
"Kamal Nursing Home, Pune",,,Maharashtra,9485569492,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Market yard, Gultekdi,Bank Of Maharashtra,Talera Garden"
Padmashree Nursing Home (Mulund),,,Maharashtra,9551264589,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"A - 11,Apurva Apartment,Above Cosmos Bank, L.B.S.Marg,Mulund (West)"
"Aastha Health Care, Mumbai",,,Maharashtra,9399635785,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Mulund Colony, Opposite Chhedda Petrol Pump, Off L. B. S. Road, Mulund (West)"
Vinit Eye Clinic Retina and Laser Centre,ophthalmology,,Maharashtra,9566848815,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,301 Emperor Babhai Naka L T Road Borivali West
Sahayog Nursing Home,,,Maharashtra,9011400104,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"LBS Road,near Navpada ,Thane"
Soonawala Clinic,,,Maharashtra,9745737590,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"5,Pashmina Peddar Road"
The Vission Eye Center,ophthalmology,,Maharashtra,9625415057,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"101,Hiralaya,N.S.Road No.10,Laxmikant Chowk,Jvpd Scheme,Vile Parle(W)"
"CGHS Dispensary No.19, Mulund",,,Maharashtra,9425233460,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"B-2, Type II, P & T colony, Mulund (W)"
Rotunda Nursing Home,,,Maharashtra,9860615131,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Rd Number 19, Wadala West"
"Indira Nursing Home, Mumbai",,,Maharashtra,9895605870,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"M.G. Road, Opposite Dena Bank, Mulund (W)"
Dr.Bharat R.Kelkar,,,Maharashtra,9792605499,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Behind Mahamarg Bus Stand Naka
Wadekar Nursing Home,,,Maharashtra,9095724506,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sr No.33, Ground Floor,A Bldg,Kudale Patil Town Ship,Near Manik Baug,Opposite Bhramha Garden Restaurant, Sinhagad Road"
Sumitra Eye Hospital,,,Maharashtra,9592350857,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Wama Apt, Behind Maitri Park, St Bust Stop, Ghatala Road . Near R K Studio, Chembur"
Kochar Nursing Home,,,Maharashtra,9455214268,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ramkrishan Nagar , Tumsar"
Dristi Deep Eye Clinic,,,Maharashtra,9995920759,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"384, Haritage Plaza. Near Chinchwad Gaon Bus Stop"
"Tushar Nursing Home, Thane",,,Maharashtra,9486871296,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Krishna Tower , First Floor , Ghodbunder Road, Kapurbawdi Naka , Thane(W)"
Dr Ghodkes Sanjay Clinic,,,Maharashtra,9149973014,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"140/4, Line Aali, Behind L.I.C. Building. Panvel"
Siddhi Nursing Home,,,Maharashtra,9789575216,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"16/121, Anand Nagar, Near Vakola Police Station, Santacruz (E)"
Boisar Nursing Home,,,Maharashtra,9214116454,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Deejay Nagar, Boisar Road"
"Sneh Nursing Home, Nagpur",,,Maharashtra,9130771453,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"277 A, Central Bazar Road, Ramdaspeth"
Ranna Nursing Home,,,Maharashtra,9025916864,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Yamunanagar, Nigdi,Near Mini Market"
Devki Nursing Home and Critical Care Centre,,,Maharashtra,9400969704,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Panpalia Bhavan, Ramdas Peth"
Shraddha Maternity Nursing Home PLt,,,Maharashtra,9227765159,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Bhayander West, Mumbai"
Dr.Suresh C Anand,,,Maharashtra,9914297054,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Anand Niwas, Plot No 3, Sion Trombay Road, Chembur"
Krishna Mai Nursing Home and Navjeevan Test-Tube Baby Centre,,,Maharashtra,9154027585,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Killa Baag Morarji Peth,Solapur"
Smruti Nursing Home,,,Maharashtra,9694234081,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Maheshwar Darshan, S V Road , Santacruz West"
Ajit Clinic,,,Maharashtra,9198458854,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Fidvi Manzil ,Behind Coporation Dispensery ,Sadar"
"Parvish Nursing Home Pvt Ltd, Mumbai",,,Maharashtra,9156706421,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"12 Shiraz Telli Galli Andheri (E), Above Hero Honda Showroom, Opp Citi Point"
Bhagali Clinic and Nursing Home,,,Maharashtra,9191578572,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ground floor,Plot No. 2 , Sadanand Society , Behind Vivekanand Statue , Satara Road"
Srushti Nursing Home,,,Maharashtra,9723507728,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Block C-1, Opposite Vishal Megamart, Netaji Venus Road, Uthanagar"
"Aditya Eye Clinic, Pune",,,Maharashtra,9126040529,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. 1A, Kumar Plaza, Next To Wonder Land, 8 M G Road M G Road"
Dr Khandeparkar's Nursing Home,,,Maharashtra,9491726487,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"157 Bhagyalaxmi, 3rd Floor, Sir Bhalchandra Road, Hindu Colony, Dadar"
"Karuna Nursing Home, Thane",,,Maharashtra,9463277562,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Flr., Shivalay Appt., Beverly Park Road, , Near Mira Road Police Station, Mira Road (E)"
CGHS Dispensary No.2,,,Maharashtra,9503996273,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Pune
Prerana Nursing Home,,,Maharashtra,9962326104,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Gomes Houseing Co-Opreative Society Ltd., Ground Floor Tps3 4Th Road, Santacruz (East)"
Ashirvad Clinic(Dr.Vandana Walvekar),,,Maharashtra,9295534597,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Dadar
Dr. Vinod B Joshi Maternity Nursing Home,,,Maharashtra,9327649422,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ghatkopar,West"
Nikhil Polyclinic,,,Maharashtra,9101142325,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Lane,Nagpurchawl,Yerwada"
Huda Nursing Home,,,Maharashtra,9290318967,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1128, Nasik Road, OppositeArif Momin Garden, V P Naka,Bhiwandi"
Divyadrishti Lasers Private Limited - Sarwate Eye Clinic and Laser Center,,,Maharashtra,9997967352,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"482, A/3, Sadar Bazar, Near Old R.T.O."
Seth Ent and Eye Clinic,,,Maharashtra,9926105146,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1, Sakshat, Opposite Gokhale School, Shimpoli Cross Road No.2, Borivali (W)"
Dr. Wagle's Nursing Home,,,Maharashtra,9099807053,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Behind Sanjay Gandhi Hospital, Roha,Chatrapati Shivaji Nagar"
Dr Dongares Clinic,,,Maharashtra,9768810826,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"A-1, B, R.D. Nagar-Khopoli Bazaepeth, Khopoli"
Ojas Nursing Home,,,Maharashtra,9758648468,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No 8-3,Sector -8, Nerul Phase-Ii, Behind M G M School, Nerul Navi Mumbai"
Sushrut Clinic Orthosurgical Nursing Home,,,Maharashtra,9918499843,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Anderi(W)
Agrawal Clinic,,,Maharashtra,9417113695,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"49, Daftary Road, Malad (E)"
Archana Maternity & Nursing Home,,,Maharashtra,9138456362,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"101-102, 1st Floor, Girirajdham Chs, Sector-10, Plot No.11, Near D-Mart, Koper Khairane"
Salasar Nursing Home,,,Maharashtra,9784749974,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"B/ Ground Floor, Salasar Classic, Near Nagar Bhavan Hall, Fhatak Road, Bhayandar West"
"Chitale Clinic Private Limited, Solapur",,,Maharashtra,9023000433,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Chitale Clinic, 165, D, Railway Lines"
"Upadhyaya Nursing Home, Mumbai",,,Maharashtra,9995419977,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Moiz Apt., 12Th Road, Near Reliance Energy, Santacruz (E)"
"Shanti Nursing Home, Mumbai",,,Maharashtra,9924420415,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Prabhu Krupa,103, L.B.S. Marg, Sarvodaya Hospital, Ghatkopar(W)"
"Bisne Heart Clinic and Hospital (Bisne Hospital Pvt. Ltd.), Nagpur",,,Maharashtra,9222298729,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No. 107 / 1, Farmland, Ramdaspeth"
"Shivam Nursing Home, Mumbai",,,Maharashtra,9533720814,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Shrenik Chs Ltd, P No 106, Sector-Ii, Charkop Kandivili - West"
"Gandhi Nursing Home, Mumbai",,Mumbai,Maharashtra,9577820238,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"105/106, Garden View Shastri Nagar Off J P Road, Before Lokhandwala Complex Andheri (W)"
Rhushabh Nursing Home & Laparoscopic Centre,,,Maharashtra,9869169665,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"C-2/101-102-201, Anjana Apartments, Above HDFC Bank, S V Road-Shimpoli Road Junction, Borivali West"
Sambharam Nursing Home - Solapur,,,Maharashtra,9973194128,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1526, Daji Peth, Near Balaji Mandir"
Sharada Netralaya,,,Maharashtra,9757614215,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,314 Nisha Complex Gr Floor Room No-4-5 Near Hathi Sizing Dhamankar Naka Bus Stop Bhiwandi
"Chinmay Nursing Home, Wadala",,,Maharashtra,9319352726,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"103,104-A Wing, Odyssey, Bhakti Park, Wadala (East)"
Dr. Prakash Doshis Fracture and Orthopaedic Nursing Home,,,Maharashtra,9125051479,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Neelkanth Market, M.G.Road, Ghatkopar (E)"
Dr Nerurkars Harish Nursing Home,,,Maharashtra,9401598940,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. B-104, 105, 1st Floor, Prithvi Vandan Co-Operative Hsg.Soc., OppositeN.M.Joshi Marg Police Station, Delisle Road, Parel"
Gajanan Orthopaedic Centre,,,Maharashtra,9617251963,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Amrut Gouri Kunj Complex, Near Hotel Osho, Binkhambi Ganesh Mandir"
Palghar Nursing Home and Child Health Care Centre,,,Maharashtra,9727717837,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Alco Arcade Building, Opposite Congress Bhuvan, Kacheri Road Palghar"
Furia's Eye Clinic,,,Maharashtra,9026135275,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"301-302/B, Bhaveshwar Plaza, Near Shreyas Cinema, Lbs Marg, Ghatkopar East"
Dadhich Nursing Home,,,Maharashtra,9573861304,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Pandit Indra Marg, J.B. Nagar"
Dewang Nursing Home Pvt. Ltd.,,,Maharashtra,9143999296,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Bhaveshwar Market, 2nd Floor, M.G. Road Next To Gandhi Market, Ghatkopar (E)"
Dr.Pattnaik's Hospital,,,Maharashtra,9472291770,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Kakad Apartments, 4, Pali Road, Bandra West"
Samarth Eye and Dental Clinic,,,Maharashtra,9230081278,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"4567/2, Behind Zp Office, Karad Road"
Usha Nursing Home,,,Maharashtra,9569949354,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"118, Kansai Section, Ambernath"
Ursekar Laser and Microssurgery Eye Clinic,,,Maharashtra,9242731893,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Hospital Address: Krishna Nivas, Junction Of Karve Road , & R R Roy Road, Girgaon"
Urmi Eye Clinic and Phaco Centre,,,Maharashtra,9936888353,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Office No 6 Dwarka Apartments ,1st Floor Above Gurdian Pharmacy,Kulgoan"
Aastha Surgical Clinic,,,Maharashtra,9405090349,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,4/30 Old Anand Nagar Bses Road Opp Billawa Bhavan Santacruz East
"Madhura Nursing Home, Thane",,,Maharashtra,9987484109,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Sukhmani Palace Veer Savarkar Nagar Navghar Vasai Road-West Vasai
Shroff Eye Clinic,,,Maharashtra,9841262896,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Gobind Mahal ,1st Floor ,86-B , Subhash Road, Marine Drive"
Ravi Surgical Nursing Home,,,Maharashtra,9310411620,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ground Floor, Kedarnath, Building Opposite 52 Jinalaya 60Ft. Road Bhayandar (W)"
Dr. Kirits Nursing Home-Vile Parle,,,Maharashtra,9975208459,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Pushpa Apartments, Tejpal Scheme Main Road, Vile Parle (East)"
Chetan Nursing Home,,,Maharashtra,9719521255,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Shiraji Nagar
Garden View Nursing Home,,,Maharashtra,9741378658,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"A/2, Garden View Hsg. Soc. Tulinj Road,Above Trupti Store, Nallasopara"
Gautami Nursing Home,,,Maharashtra,9026791155,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Shree Siddhivinayak,Rhushab Nagar, OppositeMumbra Police Station"
Nakade Nursing Home,,Bhandara City,Maharashtra,9244305203,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Bhandara , Behind Indralok Sabhagruh"
Eye-Q Vision Care,ophthalmology,Mumbai,Maharashtra,"+91-22-23637745, +91-22-23637746",Mo-Fr 09:00-17:00,"31 Surya Prakash Ground Floor, Babulnath Road, Chowpatty"
Dr.Daftarys Total Care Clinic,,,Maharashtra,9650671163,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"2, Ashok Nagar Society, North South Road No-11, Juhu-Scheme"
Bahl Nursing Home - Malad (W),,,Maharashtra,9368644536,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Jaydeep Apartment,Near Malwani Fire Brigade Malad (W)"
Hamidani Laser Vision Centre,ophthalmology,,Maharashtra,9223160012,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,104 Kulsum Apt Opp Ward Office Next To Kurla Nagrik Bank Station Kurla W
Latai Clinic,,,Maharashtra,9983516451,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Netke Colony, Vikas Nagar, Kiwale"
Gurukalash Polyclinc and Nursing Home,,,Maharashtra,9366285329,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ground Floor, Kmc Building, Padmakar Colony, Thakurli(E)"
Amardeep Nursing Home,,,Maharashtra,9758736688,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"101/103, Ratna Tarang Building,Old Nagardas Road, Andheri Eeast"
Sai Child Care Clinic,,,Maharashtra,9216523485,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Amrut Plot No 5&7 Sector 19 Vijay Marg Opp Fire Brigade New Panvel (E)
Shri Bal Chikitsalaya,,,Maharashtra,9411237953,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"14-A Miniland Tank Road,Shivaji Talau,Bhandup (W)"
I and Eye Dr Kolhes Eye Clinic,,,Maharashtra,9673234575,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"1st Floor, Kailas Complex L.B.S. Marg"
Kini Nursing Home,,,Maharashtra,9961453326,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Shashitara Appartment, Near Sudhir Phadke Flyover, Mandapeshwar Road, Borivali West"
Drishti Eye Clinic and Squint Centre,,,Maharashtra,9828002572,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"5th Floor, Midas Heights, Opposite Tarun Bharat, Central Bazar Road, Ramdaspeth"
Manasi Maternity & General Hospital,,,Maharashtra,9573105089,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Manas Anand CHS, Ghodbunder Road, Dongripada"
Suresh Eye Clinic,,,Maharashtra,9001117363,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,A Padmavati Nagar Film City Road Gurgaon East
"Mahaveer Nursing Home, Mumbai",,,Maharashtra,9529438065,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No. 44,A-1-2-3, Shivaji Nagar, Govandi"
Shree Guru Maternity and Childrens Nursing Home - Mumbai,,,Maharashtra,9967969949,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"B-102, 103 Aakar Apartments, Gen. A K Vaidya Marg, Opposite Wagheshwari Temple"
Sainani Nursing Home,,,Maharashtra,9584223320,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ganj Ward, Near S.P. College"
Gyatri Maternity and Gynaec Clinc,,,Maharashtra,9016439342,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"13/14, Parvati Chs, Plot No. 243, Opp Apna Bazar,Sector No 3, Charkop, Kandivali (East)"
"CGHS Dispensary No.7, Wadala",,,Maharashtra,9403311121,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"CGHS Quarters, Flat 226-227, Type IV, Wadala"
Dr. Malwankar's Romeen Nursing Home,,,Maharashtra,9576247456,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Gr.Floor,Gautam Dham Society, Opposite Gama House, Bhandup (W)"
Kapoor Eye Center,,,Maharashtra,9647616768,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"409 , Om Kemp Corner"
Om Clinic,,,Maharashtra,9891678685,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,M D (Paed) Dch Mahadwar Road
Pioneer Nursing Home,,,Maharashtra,9253745270,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Chhaoni Square, Chindawada Road.Chhaaoni"
Gopi Nursing Home,,,Maharashtra,9116324275,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,115 S.V.Road Khar(W)
Sushrut Nursing Home,,,Maharashtra,9219221898,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"101,Akshata Apts Almeida Road"
Shaligram Eye and Contact Lens Clinic,,,Maharashtra,9150417756,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"No. 1187/I, E Ward,Plot No.18,Rajarampuri,4Th Lane"
Awadh Clinic and Nursing Home,,,Maharashtra,9681346589,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"9-11, S.G.Colony, Mankapur , Faras"
Shakuntal- Chitra Nursing Home,,,Maharashtra,9170196533,Mo-Su 15:00-22:00,"1/3,1/4B Sarvodaya Chs Ltd, Amrutnagar Bandra ( E) Next To Building 35 And Shivsena Shaka Kher Nagar"
Dalal Nursing Home,,,Maharashtra,9687264268,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"603, A-15, Byramji Town"
Ram Netralaya,,,Maharashtra,9285131013,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Medical Square,1, Hanumannagar"
Muktai Nursing Home,,,Maharashtra,9961272492,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Plot No. 6, Ayodhyanagar"
Asha Bhavan Nursing Home,,,Maharashtra,9593020843,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,Siraspeth
Deole Nusing Home,,,Maharashtra,9228784577,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sargam, 447, Mohta Science College Road, Chandan Nagar"
The Vascular Clinic,,,Maharashtra,9886796765,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,15 Dar Ui Muluk 26 Pandita Ramabai Road
"CGHS Polyclinic, Mukund Nagar",,,Maharashtra,9395352795,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Swasthya Sadan, Mukund Nagar"
Dr. Ashok Parakh,,,Maharashtra,9499111992,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Ashoka Centre, 2nd Floor, Next To Bata Showroom, Pune- Satara Road"
Divyajyoti Eye Clinic,,,Maharashtra,9531531667,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Jyoti Apartment, Ground Floor, Opp. Seven Bunglow Bus Depot, J P Road, Andheri(W),Mum 53"
Dr Chetan Shetty- Birth & Beyond Clinic Clinic,,,Maharashtra,9373580668,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Dr Ernest Borges Rd, Parel East,"
Palvia Clinic,,,Maharashtra,9285573259,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Keshariyaji, At & Post Gadab, Taluka. Pen, Pen"
Chheda's Eye Clinic,,,Maharashtra,9022383168,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"A-106 Kasturi Plaza,Manpada Road Dombivli(E) Mumbai"
Dr. Bhangale's Clinic and Nursing Home,,,Maharashtra,9581183595,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Opp To State Bank Of India, Daund Shirapur Road"
"Grant Medical Foundation, Ruby Hall Clinic - Wanowarie - Pune",,,Maharashtra,9960060254,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"59/6, Azad Nagar Wanowarie"
"Sunflower Nursing Home, Mumbai",,,Maharashtra,9295041744,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Sunflower,J.V.P.D Scheme, N.S Road ,Vileparle,West"
Niranjan Nursing Home And Test Tube Baby Centre,,,Maharashtra,9934338219,10 A.M. to 2 P.M. & 5 P.M. to 10 P.M.,"Opp Sanskrutik Kendra, Near Ambedkar Stadium Baramati"
