Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact,State
Aakar Hospital,"Virani School Chowk,Opp Punjab Bank,Ramkrishna Nagar Main Road,",Unknown,Government,9028676177,Punjab
Aakash Eye Hospital,"A 19-20,Suraksha Society,Near B.Ed.College,Visnagar,Shivmarket",Unknown,Government,9833182344,Uttar Pradesh
Aakash Hospital,"90/43, Malviya Nagar, New Delhi","Few Left, Book Now",Private,9586754036,Delhi
Aakash Hospital,"# 393/1, T.H. Road, (Annexe) 393/1, Tiruvottiyur.Tiruvallur",Unknown,Government,9102061341,Tripura
Aakashdeep Hospital,"# 98, Sector-7, Koperkhairna,Navi Mumbai-400709.","Few Left, Book Now",Private,9271975683,Madhya Pradesh
Aalok Ortho Care,"#8, Vidhyavihar Colony, Opp Hotel Fortune Lankmark, Usmanpura, Ahmedabad, Gujarat","Few Left, Book Now",Private,9841269542,Gujarat
Aarif Nursing Home,"Lakshmi Street,Near Income Tax Office",Unknown,Government,9053966471,Mizoram
Aarogya Hospital (A Unit Of Kastura Medicos Limited,"Plot No-Nh-1, Sec-6, Vaishali, Ghaziabad, Uttar Pradesh","Few Left, Book Now",Private,9709118327,Uttar Pradesh
Aarogyam Multispeciality Hospital,"1St Floor, Renuka Bldg, Appo Mangala High School, Above Bank, Maharashtra, Mumbaimumbai","Few Left, Book Now",Private,9347076458,Maharashtra
Aarthi Hospital,"60,Santhaipettai Street",Unknown,Government,9830787839,Sikkim
Aarthy Eye Hospital,"#16, Sengunthapuram Main Road, Karur.",Unknown,Government,9360856959,Chhattisgarh
Aaruni Hospital Pvt Ltd,"Next To Holy Saint School,Kalawad Road",Unknown,Government,9446611088,Arunachal Pradesh
Aaryan Institute Of Medical Sciences,"Navanaka,Mandvi,Near Opp Sawmi Narayana Mandir",Unknown,Government,9733875098,Kashmir
Aasha Hospitals,"7-201,Court Road,Anantapur",Unknown,Government,9458269764,Nagaland
Aashirwad Hospital,"G-121, Oriental Villa, Sushant Lok-Iii, Sector-57.",Unknown,Government,9593024576,Kashmir
Aashirwad Hospital,"Om Shraddha Tower, Above Tdcc Bank Pune Link Road, Tisgaon, Kalyan Est, Thane.","Few Left, Book Now",Private,9830043632,Andhra Pradesh
Aashirwad Nursing Home,"Ashirwad, Swami Samarth Nagar, 2Nd Cross Lane, Lokhandwala Complex, Andheri West","Few Left, Book Now",Private,9586539248,Assam
Aashirwad Nursing Home & Iccu,"A3, New Green Apartments,Tilak Chowk, Turel Pakhadi Roa",Unknown,Government,9432122897,Arunachal Pradesh
Aashirwad Nursing Home (Heart And Diabetes Center),"A-29/3, Lions Enclave, Marble Block, Vikas Nagar, Uttam Nagar, New Delhi-110059","Few Left, Book Now",Private,9553071750,Delhi
Aashlok Nursing Home Pvt Ltd,"#25A, Block-Ab, Community Centre,Safdarjung Enclave, Newdelhi-110029","Few Left, Book Now",Private,9622071670,Delhi
Aastha Eye Centre,"5-R/5 N.I.T, Near Neelam Petrol Pump, Faridabad-121001","Few Left, Book Now",Private,9315508408,Uttar Pradesh
Aastha Hospital,"L-2/50, New Mahavir Nagar Outer Ring Road Near Janakpuri Dist Centre",Unknown,Government,9616175718,Tripura
Aastha Hospital,"No.104,New Krishna Housing Society,Near Dhuri Motors,Ambadi Road,Vasai(W),Thane,","Few Left, Book Now",Private,9156858132,Uttar Pradesh
Aastha Hospital,Hospital Area Ulhasnagar -3Thane,"Few Left, Book Now",Private,9726169628,Uttarakhand
Aastha Kidney & Multispecialty Hospital,"2-D-1, Sukhadia Nagar, Sri Ganganagar, Rajasthan",Unknown,Government,9194139012,Rajasthan
Aayush Eye Clinic,"201, Coral Classic,20Th Road.",Unknown,Government,9758222090,Kerala
Aayushmaan Hospital,Kiratpur Road,Unknown,Government,9563931986,Telangana
Aayushman The Family Hospital,"D.No.45/145A1,Venkataramana Colony",Unknown,Government,9071305454,Odisha
Abc Hospitals,"#16-1-13, Kgh To Beach Down, Opp. Coastal Battery, Maharanipeta, Visakhapatnam, Visakha, Andhrapradesh-530002",Limited Seats,Municipal,9661108454,Sikkim
Abdul Khadir Hospital,"Parakkai Road,Elankadai,Kottar",Unknown,Government,9668944122,Haryana
Abha Nursing Home (P) Ltd,"10/503-B, Allengami, Kanpur",Limited Seats,Municipal,9223335217,Uttar Pradesh
Abhaya Critical Care,"18-1-34, Opp. K.G.H. Gatemaharanipeta,",Unknown,Government,9829388392,Karnataka
Abhaya Emergency Centre Sri Hospitals,"79-1-4/1, J.N. Road",Unknown,Government,9218857652,Meghalaya
Abhaya Eye Hospital,"#77,Bsk 3Rd Stage, 100Ft Ring Road,5Th Block.",Unknown,Government,9947482849,West Bengal
Abhaya Hospital,"1-78D, Jainpeta, Belthangaby, Dakshina Kannada, Karnataka",Unknown,Government,9506039915,Karnataka
Abhaya Hospital (Neuropsychiatry & Critical Care Hospital Pvt Ltd),"17, Dr.M.H.Mari Gowda Road,Wilson Garden,Bangalore","Few Left, Book Now",Private,9398241193,Andhra Pradesh
Abhaya- Bbc Children Hospital,"Hindi Maha Vidyalaya Complex, O.U. Road, Vidya Nagar.",Unknown,Government,9250901883,Kashmir
Abhi Sai Hospitals,"Doctor'S Colony,Miryalguda",Unknown,Government,9560585793,Delhi
Abhijay Hospital (P) Ltd.,"No.22/2, E.S.I Hospital Road,Peravallur,",Unknown,Government,9119241012,Madhya Pradesh
Abhijit Hospital,Divya Trusha Mamlatdar Wadiroad Malad (West),Unknown,Government,9519613181,Delhi
Abhilash Hospital & Sara Rehabilitation Centre,"#271, 1Ooft Ring Road, 5Th Block,3Rd Phase, 3Rd Stage,Banashankri.",Unknown,Government,9488623378,Nagaland
Abhilasha Hospital,House No 201 Sector 35 A,Unknown,Government,9261524630,Madhya Pradesh
Abhinandan Hospital,"0/60, Doctors Colony, Kankar Baga",Unknown,Government,9230593760,Jammu
Abhinav Drishti Eye Hospital,"B-719, Sector-C, Mahanagar Lucknow",Limited Seats,Municipal,9152724235,Odisha
Abhinav Multispeciality Hospital,"Naya Nakasha, Lashkari Bagh.",Unknown,Government,9859085281,West Bengal
Abhiram Institute Of Medical Sciences,"Opp Aps Rtc Depot, Atmakur, Nellore",Unknown,Government,9762111659,Sikkim
Abhishek Nethradhama,"Mosque Complex, Opp Rajkamar Talkies, Fort Road,",Unknown,Government,9257696180,Meghalaya
Abhishek Nursing Home (L.P.Diagnostics Pvt. Ltd.),"Jagruti Co-Op.Soci Bhatwadi,Ghatkopm- (W), Mumbai - 400084Near Maratha Mandir,Co-Op Bank","Few Left, Book Now",Private,9812880447,Goa
Abinand Hospital,"237-F/7, Pollachi Main Road,Sundarapuram, Coimbatore",Available,Government,9626248602,Tripura
Abiraami Hospital,"24-Alc,Campus,Manjakuppam",Unknown,Government,9410714681,Odisha
Acchutha Eye Care,"#H-3, Evn Road, Permar Nagar, Near Surampatti Nall Road, Erode-638009",Unknown,Government,9249435876,Gujarat
Accident Fracture And Orthopedic Hospital,"Near Green Park Dunetha Road , Nani Daman, Gandhinagar, Gujarat-382010",Unknown,Government,9284208546,Gujarat
Ace Heart & Vascular Institute. (A Unit Of Prime Cardiac Care Pvt. Ltd.),"Sector-69,Shivalik Hospital",Unknown,Government,9891502628,Delhi
Acharya Shri Chander College Of Medical Sciences & Hospital,"P.B # 5, Hpo Gandhi Nagar,Jammu-180017.",Available,Government,9444354181,Jammu
Acharya Tulsi Jain Hospital,"Mom(M)W6-P-6,#22/2-1,6Th Cross,K.N Extension",Unknown,Government,9075159461,Chhattisgarh
Acharya Vinoba Bhave Rural Hospital,"Yavatmal Road,Sawangi (Meghe)Wardha-442004.",Unknown,Government,9501050301,Andhra Pradesh
Achyut Pandit Hospital,"Kumbeswar Temple Road,Kumta",Unknown,Government,9973071636,Uttarakhand
Action Cancer Hospital,"H-2/Fc-34,A4 Pashim Vihar",Unknown,Government,9437560475,Maharashtra
Acura Health Care Pvt Ltd,"#435,18Th Main,Koramangala 6Th Block(Near Ndoor Stadium)",Unknown,Government,9825348783,Tamil Nadu
Adarsh Hospital,"86-26-5, V.L. Puram Jn, M.S. Narayana Street, Rajahmundry-533107",Unknown,Government,9945012885,Tamil Nadu
Adarsh Hospital,"16-23, Suryakiran Appartments,Ghoddod Road, Surat-395007.",Limited Seats,Municipal,9766441044,Arunachal Pradesh
Adarsh Hospital,"Meenakshi Apartments,C - Wing, 1St Floor, Marve Road,Maladmalad (W)",Unknown,Government,9930366315,Jammu
Adarsh Hospital,"Sn 11/12,Kondhwa Budruk,Near Katraj Khondwa Road,Near Kaveri Apartments",Unknown,Government,9516716433,Jammu
Adarsh Nursing Home,"Gopalswamy Road,Gandhinagar",Unknown,Government,9554634592,Mizoram
Adarsha Hospital,"# 274/Vi, N.H. # 17, Kundapura, Udapi-576201Udupi- 576201",Unknown,Government,9707920532,Kashmir
Adarsha Hospital Udupi,"Near K.S.R.T.C Bus Stand, Udupi",Unknown,Government,9403083515,Rajasthan
Adarsha Nethralayam,"9-5-53, Mandibazar, Warangal, A.P",Unknown,Government,9899105254,Manipur
Adarsha Nursing Home,Sharadadevi Nagaropp Mg Stadium,Unknown,Government,9259764815,Karnataka
Adavally Damodar Reddy Memorial Hospital,"3-97, Sharadanagar, Ramanthapur,Ranfa Reddy.",Unknown,Government,9594005392,Gujarat
Add Hospital Pvt Ltd,Junus Patna College Square,Limited Seats,Municipal,9198316980,Uttar Pradesh
Adesh Hospital & Research Centre,Kotkapura Road Sri Muktsar Sahibmuktsar,Unknown,Government,9567384723,Uttar Pradesh
Adichunchanagiri Hospital & Research,"Balagangadharanatha Nagara, Nagamangala Taluk, Mandya Dist, Mandya-571448Nagamangala Taluk, Mandya Dist",Unknown,Government,9243543725,Nagaland
Adilakshmi Nursing Home,"G.B.C. Raod, Ponnur.",Unknown,Government,9453649337,Bihar
Adinath Hospital,Plot No 330 Gyan Khand 1 Indirapuram Ghaziabad,"Few Left, Book Now",Private,9509828415,Haryana
Adithi Maternity And General Nursing Home,"#78,Omkarnagar, B.G. Road.",Unknown,Government,9100797747,Bihar
Adithya Nursing Home,57 Opp Junior College Ramanagaram,Unknown,Government,9700504793,Meghalaya
Adithya Speciality Hospital,"277, G.S.T Main Road, Near Harveypatty Bus Stop, Thirunagar, Madurai - 625006",Unknown,Government,9394668722,Tamil Nadu
Aditi Hosptial,"Gandhi Square Newpet,Anekal",Unknown,Government,9918318689,Chhattisgarh
Aditi Medical Centre,"Sector-4, Plot No-117, Near Ramlila Ground.",Unknown,Government,9475319417,Kashmir
Adittya Eye Clinic,"M.G.Road, Ronik Apts, 1St Floor,Kandival(W)",Unknown,Government,9832285287,Jammu
Aditya Care Hospital,"329/1929(P),Chandrasekharpur,Khurdha",Unknown,Government,9893598122,Andhra Pradesh
Aditya Diagnostics & Hospitals (A Unit Of Dr. N. Sahewalla & Co Pvt. Ltd),"AMC Road, Bordoloi Avenue, Dibrugarl Dist, Assam-786005.",Unknown,Government,9875874607,Assam
Aditya Eye Clinic And Contact Lens Centre,"Office # 1A,Kumar Plaza,M.G.Road,",Unknown,Government,9787218870,Jharkhand
Aditya Eye Hospital,"Judge Mukku, Thrikkakara, Kochi-682021",Limited Seats,Municipal,9168908650,Meghalaya
Aditya Health Research Foundation (P) Ltd,"965, Jessore Road, Dumdum,Kolkata",Available,Government,9481088042,Gujarat
Aditya Hospital,"#4-1-16, Boggulakunta, Tilak Road, Adids, Hyderbad-500001Abids",Unknown,Government,9618053979,Delhi
Aditya Hospital,"No.7, Barnbay Road, Kilpauk, Chennai-600010","Few Left, Book Now",Private,9891497518,Haryana
Aditya Jyot Eye Hospital (P) Ltd.,"Plot # 153,Mojar Parmeshwaranroad (Opp) Siws Collage Gate #",Unknown,Government,9499092350,Uttar Pradesh
Aditya Medical Park (A Unit Of Aditya Health Research Foundation Pvt Ltd),"Taki Road, Kadambagachi, Barasat, 24 Parganas (N)Barasat-700124",Unknown,Government,9413483394,Bihar
Aditya Multi Care Hospital,"18-1-33, Opp. K.G.H.O.P Gate, Aditya Medical Complex, Vishkhapatnam-530002",Limited Seats,Municipal,9335599814,Kerala
Aditya Multispeciality Hospital,"Opp: Police Parade Grounds,Hanamkanda,Kishanpura.",Unknown,Government,9823483187,Kashmir
Aditya Netralaya,"#244, 7Th Cross 6 Block 3 Puase 3Block Banashankari, Bangalore-560085","Few Left, Book Now",Private,9234445567,Haryana
Aditya Nursing Home,"No.1/541-135,Aas College Road,Adoni,",Unknown,Government,9502754264,Sikkim
Aditya Nursing Home,"#315, Usha Nagar Extension.",Unknown,Government,9941768353,Kashmir
Aditya Orthopaedic & Trauma Centre,"Sri Shivakumar Swamy Circle, Bh Raod Tumkur-2",Unknown,Government,9003830433,Mizoram
Aditya Orthopaedic Hospital,"#201,202,Aditya Plaza,Jodhpur Road,Satellite",Unknown,Government,9242759988,Jammu
Adityaj Hospital,"S.C.O.18,(F.F),Phase-1,S.A.S,Nagar",Unknown,Government,9106476187,Tamil Nadu
Adiva Hospital Pvt. Ltd.,C- 1/C Green Park Ext,Unknown,Government,9301173409,Tamil Nadu
Adr Hospital,"H.No. 4-112/1, Anand Bagh, Malkajgiri, Hyderabad-500047","Few Left, Book Now",Private,9100825545,Assam
Advance Mother And Child Care Center,"#67, Kalgidhar Enclave, Near Shiv Mandir, Hdfc Bank, Baltana, Zirakpur, Mohali, Punjab",Unknown,Government,9218745484,Punjab
"Advanced Neurology & Superspeciality Hospital, Jaipur","D-358, Brain Tower, Malviyanagar, Jaipur-302017",Limited Seats,Municipal,9757876906,Haryana
Adventist Wockardt Heart Hospital,24 Athwalines Surat,Limited Seats,Municipal,9954555313,Puducherry
Adyar P.M. Hospital,"# 58, L.B. Road, Adyar, Chennai-600020Chennai","Few Left, Book Now",Private,9274447610,Delhi
Aeinullah Eye Hospital,"#90, Austin Town Layout, Near B.D.A Shopping Complex.",Unknown,Government,9659663587,Uttarakhand
Agadi Hospital & Research Centre,"35, H Siddhaiah Road, Wilson Garden, Bangalore-560027Wilson Garden","Few Left, Book Now",Private,9219801195,Meghalaya
Agarwal Maternity & General Hospital,"S/N.45/1,2 & 5,Sangarsh Chowk,Kharadi Road,Chandannagar,",Unknown,Government,9011383768,Maharashtra
Agarwal Medical Centre,"E-234, Greater Kailash, Delhi-110048","Few Left, Book Now",Private,9945365413,Delhi
Agarwal Nursing Home,"Salarpur Road, Kurukshetra, Haryana",Unknown,Government,9525987641,Haryana
Agarwal Nursing Home,"4Th Floor,Shanti Centre, Plot # 8,Sec-17,Vashi,Navi Mumbai,Vashi, Navi Mumbai-400703","Few Left, Book Now",Private,9580091113,Meghalaya
Agash Nursing Home,"#234, G.S.T. Road, Chromepet",Unknown,Government,9045041777,Punjab
Aggarwal Eye Hospital,"No.102/5,Ketayan Mansion,Shahaji Raje Marg,Koldongri,Andheri(E),Sahaje Raje Marg, Koldongri,","Few Left, Book Now",Private,9585401638,Meghalaya
Aggarwal Medical Centre,"Jiwan Nagar, Gaunchi, Sector-55. Haryana , Faridabad","Few Left, Book Now",Private,9629811567,Haryana
Aggarwal Nursing Home,"2528/192,Tri Nagar,Tota Ram Bazar",Unknown,Government,9000733498,Puducherry
Agile Hospital Pvt. Ltd,"Tripura Road, Jayanagar Chariali, Guwahati, Kamrup, Assam, Opposite Sbi, Iibm Branch.",Available,Government,9906111251,Assam
Agrawal Clinic Surgical & General Hospital With Icu,"49, Daftary Road, Malad (East), Mumbai, Maharashtra, Opp. Subhash Lane.","Few Left, Book Now",Private,9479152142,Maharashtra
Agrawal Eye Hospital,61 Shivaji Road Near Nas College,Unknown,Government,9651140998,Goa
Agrawal Eye Hospital,"1St Floor, Maharaja Apartment, Opp. Tel. Exchange, S.V. Road, Malad (West) Mumbai-400064","Few Left, Book Now",Private,9348074641,Tripura
Agrawal Eye Institute,"A-235,Shivalik,Malviya Nagar",Unknown,Government,9959376805,Manipur
Agrawal Hospital,"5Th Lane,First Floor,Kilachand Centre,Station Road",Unknown,Government,9729961288,Meghalaya
Agrawal Hospital,"E-3/15, Opp Habibganj Railway Stn, Arera Colony, Bopal,Mp-462016",Unknown,Government,9411726609,Andhra Pradesh
Agrawal Hospital (A Unit Of Agrawal Institute Of Medical Sciences Pvt,"Near Rajkumar College, G.E. Road.",Unknown,Government,9507256265,Gujarat
Agrawal Nursing Home,"Bombay Market, St.Road, Bhayander West,Bhayander, Thane","Few Left, Book Now",Private,9865167632,Chhattisgarh
Ahalia Foundation Eye Hospital,"1/1053, Elappully.",Unknown,Government,9196552808,Tripura
Ahalya Nursing Home,"Back Side Sivaayam Temple, Kothapet, Guntur, Andhra Pradesh-522002.",Unknown,Government,9521144954,Andhra Pradesh
Ahalyadevi Nursing Home,"16-1-712, Near Nehru State, Trunk Road.",Unknown,Government,9282109000,Meghalaya
Ahirkar Hospital,"Near Ratan Cinema Narpoli,Bhiwandi,Thane","Few Left, Book Now",Private,9859783839,Haryana
Ahmed Hospital,"Sector-15,Part-2.",Unknown,Government,9929412509,West Bengal
Ahmed Hospitals,"Gulshan Nagar,Byepass,Nowgam",Unknown,Government,9563983731,Madhya Pradesh
Ahooja Eye & Dental Institute,"560/1, Dayanand Coloney, New Railway Road",Unknown,Government,9788599747,Kashmir
Ahuja Nursing Home & Polyclinic,"Furniture Bazar,Ulhas Nagar,Dass Chambers,1St Floor",Unknown,Government,9308736368,Manipur
Aisha Memorial Hospital (Tsunami Project Only),"Paruthikuzhy, Manacaud",Unknown,Government,9171412283,West Bengal
Ajani Hospital,"Sidharaj Jaysingh Marg, Sidhpur",Unknown,Government,9415361556,Delhi
Ajanta Hospital & Ivf Centre Pvt Ltd,"#765, Near Krishna Cinema, Kanpur Road, Alambagh.",Limited Seats,Municipal,9320436818,Mizoram
Ajay Hospital,"Bhopal Vihar, Garh Road, (Near -Radha Govind Engineering College), Meerut, Uttar Pradesh",Limited Seats,Municipal,9067125783,Uttar Pradesh
Ajay Medical Centre,Near Bus Stand Chellakere,Unknown,Government,9548039095,Odisha
Ajay Pratima Hospital,"57, Brijlok, Near Prem Nagar Dharam Kanta Bareilly",Unknown,Government,9374034002,Manipur
Ajit Surgical & Maternity Home,"Chikkodi Road,Raibag",Unknown,Government,9969174615,Manipur
Ajmer Hospital,"# 158/X,Civil Lanes, Ajmer-305006.",Unknown,Government,9611519726,Maharashtra
Ajwani Eye Hospital Pvt. Ltd.,"# 115, Berasia Road, Bh0Pal Sindhi Colony, Bhopal-462018",Unknown,Government,9068364368,Puducherry
Ak Hospital,"360 Poonamallee High Road,Junction Of Ph Rd &",Unknown,Government,9129873483,Uttar Pradesh
Akanksha Maternity & Surgical Hospital,"6, Manish Tower, Manish Nagar, J P Road, Ahdheri(W)J.P. Road, Andheri (W)","Few Left, Book Now",Private,9000430663,Madhya Pradesh
Akansha Orthopedic Centre,"5-A-2, Vigyan Nagar.",Unknown,Government,9260319692,Jharkhand
Akar Hospital,"Ramkrishna Nagar Main Road, Virani School Chowk.",Unknown,Government,9742470049,Uttar Pradesh
Akilesh Orthopaedics Hospitals,"95-97, Sasthiri Road, Rammagar.",Unknown,Government,9562282405,Tamil Nadu
Akira Eye Hospital,"Aryapuram,Rajahmundry",Unknown,Government,9506737599,West Bengal
Akshar Eye Hospital,"Kandhari Apartment, Opp S.T. Work Shop,Patia, Naroda Road.",Unknown,Government,9824741503,Chhattisgarh
Akshar Surgical Hospital,"2Nd Floor, Vidita Avenue, Near Jayhind,Char Rasta, Maninagar.",Unknown,Government,9807681326,Andhra Pradesh
Akshardeep Orthopaedic Hospital,"2Nd Floor, Shubh Complex, Near Rajasthan Hospital, Shahibaugnr. Rajasthan Hospital,",Unknown,Government,9668363579,Rajasthan
Akshare Eye Foundation,"#6052 Railway Station Road,Opp Town Hall",Unknown,Government,9093115872,Madhya Pradesh
Akshay Eye Clinic,"#842,Mahatma Gandhi Road,Panvel",Unknown,Government,9230083404,Odisha
Akshay Hospital,"M.P. Nagar,",Unknown,Government,9332662396,Odisha
Akshay Hospital,"2Nd Cross, Ashoknagar",Unknown,Government,9852733236,Odisha
Akshay Mallya Hospital,"Varthur Main Road,Marathalli",Unknown,Government,9359575221,Uttar Pradesh
Akshay Medical Foundation,"204/G Ward,Mg Roadlonawala",Unknown,Government,9997936109,Goa
Akshaya Care Multi Speciality Hospital,"#11-3-267/13, Near Raghava Gardens, Madhura Nagar, Srinivasanagar, Parsigutta,",Unknown,Government,9591454361,Himachal Pradesh
Akshaya Heart Hospital,"Rishi Nagar, Char Imli, Opp Ekant Park.Bhopal, Madhya Pradesh",Unknown,Government,9628772444,Madhya Pradesh
Akshaya Nethralaya,"#227/A,Vidyagiri Layout N Exit O Axis Bank Nagarbhavi Circle,Bangalore","Few Left, Book Now",Private,9611827798,Tripura
Akshaya Nursing Home,"3Dr Cross Gowripet, Kolar",Unknown,Government,9428971413,Haryana
Akshayjyot Eye Hospial,"Yashowardhan,Mutthe Layout.",Unknown,Government,9694329714,Chhattisgarh
Akshi Eye Care Centre,"2/344-A, Azad Nagar,Kanpur-200002.",Limited Seats,Municipal,9337917233,Chhattisgarh
Akshitha Hospitals,"H.No.11-32/6,Mahavir Enclave Phase-Ii,Shashabad",Unknown,Government,9744824975,West Bengal
Al Salama Eye Hospital,Arayidathu Palam Jn By Pass Road Kozhikode,Unknown,Government,9090762934,Odisha
Al Salama Eye Hospital Ltd,"55/5,Hospital Road,Perinthalmanna,Malapuram",Unknown,Government,9820955389,Sikkim
Al Shifa Hospital Pvt Ltd,"Pb No. 26, Ooty Road Perintalmannaooty Road",Unknown,Government,9128540564,Madhya Pradesh
Al-Arif Hospital,"Tc-48/659,Ambalathara,Poonthura Post,Near Milma Diary",Unknown,Government,9347838310,Jharkhand
Alam Hospital & Research Centre,"Booty Road, Bariatu.",Unknown,Government,9039058977,Odisha
Alapati Nursing Home,"Gopalreddy Street, Ganganammapet.",Unknown,Government,9037889388,Meghalaya
Alatkar Hospital,"Bhosale Garden,Opp 111 Bus Stop,Pune Solapur Road","Few Left, Book Now",Private,9154958559,Rajasthan
Alchemist Hospitals Ltd,"Sector 21,Near Main Market",Unknown,Government,9337211329,Odisha
Alchemist Institute Of Medical Science,Sector 53 Saraswatikunj Dlf Golf Course Road Gurgaon,"Few Left, Book Now",Private,9739490096,Meghalaya
Alexander Eye Centre,"34/629A,A1,B,",Unknown,Government,9233387064,Andhra Pradesh
Alhat Nursing Home,"Hira-Ratan Plaza,Pune Nashik Highway Pmt Chowk,Bhosari","Few Left, Book Now",Private,9992617887,Puducherry
All Asia Medical Institute (A Unit Of Harsh Medical Centre Pvt Ltd).,8B Garcha First Lane,Unknown,Government,9579295167,Punjab
Alled Hospital Limited (Tsunami Project Only),"2/333,Guruvayoor Road,",Unknown,Government,9768217454,Delhi
Alliance Hospital,"C-20/1-73,Ramakant Nagar Colony, Varanasi, Uttar Pradesh",Limited Seats,Municipal,9711417837,Uttar Pradesh
Alluri Sitarama Raju Academy Of Medical Sciences,"Malkapuram, Eluru Nh-5, Malkapuram.",Unknown,Government,9754377648,Mizoram
Almas Hospital,"Changuvetty,Kottakal,Malappuram,",Unknown,Government,9102855424,Gujarat
Alok Hospital,"1-A-5, Sheela Choudhary Road",Unknown,Government,9568368924,Madhya Pradesh
Alpha Ent Head And Neck Research Institute And Hospital,"Opp To Bsnl Tower,Deshabhimani Road,Kaloor,Ernakulam",Unknown,Government,9331781771,Meghalaya
Alpha Medical Services (Pvt) Ltd,"21/1, Dobson Road Howrahmaulana Abul Kalam Azad Rd",Unknown,Government,9625076432,Gujarat
Alpha Medical Services Pvt Ltd,"#13, Lalalajpat Rai Sarani Elgin Road.",Unknown,Government,9395892426,Uttar Pradesh
Alpha Super Speciality Hospital,"23-1-863. Bsides Mch Swimming Pool, Moghalpura.",Unknown,Government,9914521338,Tripura
Alphonsa Hospital,"Chruch,Karukutty",Unknown,Government,9785037161,Jharkhand
