Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact
Adarsha Hospital Udupi,"Near K.S.R.T.C Bus Stand, Udupi",Unknown,Unknown,9403083515
Adarsha Nethralayam,"9-5-53, Mandibazar, Warangal, A.P",Unknown,Unknown,9899105254
Adarsha Nursing Home,Sharadadevi Nagaropp Mg Stadium,Unknown,Unknown,9259764815
Adavally Damodar Reddy Memorial Hospital,"3-97, Sharadanagar, Ramanthapur,Ranfa Reddy.",Unknown,Unknown,9594005392
Add Hospital Pvt Ltd,Junus Patna College Square,Limited Seats,Municipal,9198316980
Adesh Hospital & Research Centre,Kotkapura Road Sri Muktsar Sahibmuktsar,Unknown,Unknown,9567384723
Adichunchanagiri Hospital & Research,"Balagangadharanatha Nagara, Nagamangala Taluk, Mandya Dist, Mandya-571448Nagamangala Taluk, Mandya Dist",Unknown,Unknown,9243543725
Adilakshmi Nursing Home,"G.B.C. Raod, Ponnur.",Unknown,Unknown,9453649337
Adinath Hospital,Plot No 330 Gyan Khand 1 Indirapuram Ghaziabad,"Few Left, Book Now",Private,9509828415
Adithi Maternity And General Nursing Home,"#78,Omkarnagar, B.G. Road.",Unknown,Unknown,9100797747
Adithya Nursing Home,57 Opp Junior College Ramanagaram,Unknown,Unknown,9700504793
Adithya Speciality Hospital,"277, G.S.T Main Road, Near Harveypatty Bus Stop, Thirunagar, Madurai - 625006",Unknown,Unknown,9394668722
Aditi Hosptial,"Gandhi Square Newpet,Anekal",Unknown,Unknown,9918318689
Aditi Medical Centre,"Sector-4, Plot No-117, Near Ramlila Ground.",Unknown,Unknown,9475319417
Adittya Eye Clinic,"M.G.Road, Ronik Apts, 1St Floor,Kandival(W)",Unknown,Unknown,9832285287
Aditya Care Hospital,"329/1929(P),Chandrasekharpur,Khurdha",Unknown,Unknown,9893598122
Aditya Diagnostics & Hospitals (A Unit Of Dr. N. Sahewalla & Co Pvt. Ltd),"AMC Road, Bordoloi Avenue, Dibrugarl Dist, Assam-786005.",Unknown,Unknown,9875874607
Aditya Eye Clinic And Contact Lens Centre,"Office # 1A,Kumar Plaza,M.G.Road,",Unknown,Unknown,9787218870
Aditya Eye Hospital,"Judge Mukku, Thrikkakara, Kochi-682021",Limited Seats,Municipal,9168908650
Aditya Health Research Foundation (P) Ltd,"965, Jessore Road, Dumdum,Kolkata",Available,Government,9481088042
Aditya Hospital,"#4-1-16, Boggulakunta, Tilak Road, Adids, Hyderbad-500001Abids",Unknown,Unknown,9618053979
Aditya Hospital,"No.7, Barnbay Road, Kilpauk, Chennai-600010","Few Left, Book Now",Private,9891497518
Aditya Jyot Eye Hospital (P) Ltd.,"Plot # 153,Mojar Parmeshwaranroad (Opp) Siws Collage Gate #",Unknown,Unknown,9499092350
Aditya Medical Park (A Unit Of Aditya Health Research Foundation Pvt Ltd),"Taki Road, Kadambagachi, Barasat, 24 Parganas (N)Barasat-700124",Unknown,Unknown,9413483394
Aditya Multi Care Hospital,"18-1-33, Opp. K.G.H.O.P Gate, Aditya Medical Complex, Vishkhapatnam-530002",Limited Seats,Municipal,9335599814
Aditya Multispeciality Hospital,"Opp: Police Parade Grounds,Hanamkanda,Kishanpura.",Unknown,Unknown,9823483187
Aditya Netralaya,"#244, 7Th Cross 6 Block 3 Puase 3Block Banashankari, Bangalore-560085","Few Left, Book Now",Private,9234445567
Aditya Nursing Home,"No.1/541-135,Aas College Road,Adoni,",Unknown,Unknown,9502754264
Aditya Nursing Home,"#315, Usha Nagar Extension.",Unknown,Unknown,9941768353
Aditya Orthopaedic & Trauma Centre,"Sri Shivakumar Swamy Circle, Bh Raod Tumkur-2",Unknown,Unknown,9003830433
Aditya Orthopaedic Hospital,"#201,202,Aditya Plaza,Jodhpur Road,Satellite",Unknown,Unknown,9242759988
Adityaj Hospital,"S.C.O.18,(F.F),Phase-1,S.A.S,Nagar",Unknown,Unknown,9106476187
Adiva Hospital Pvt. Ltd.,C- 1/C Green Park Ext,Unknown,Unknown,9301173409
Adr Hospital,"H.No. 4-112/1, Anand Bagh, Malkajgiri, Hyderabad-500047","Few Left, Book Now",Private,9100825545
Advance Mother And Child Care Center,"#67, Kalgidhar Enclave, Near Shiv Mandir, Hdfc Bank, Baltana, Zirakpur, Mohali, Punjab",Unknown,Unknown,9218745484
"Advanced Neurology & Superspeciality Hospital, Jaipur","D-358, Brain Tower, Malviyanagar, Jaipur-302017",Limited Seats,Municipal,9757876906
Adventist Wockardt Heart Hospital,24 Athwalines Surat,Limited Seats,Municipal,9954555313
Adyar P.M. Hospital,"# 58, L.B. Road, Adyar, Chennai-600020Chennai","Few Left, Book Now",Private,9274447610
Aeinullah Eye Hospital,"#90, Austin Town Layout, Near B.D.A Shopping Complex.",Unknown,Unknown,9659663587
Agadi Hospital & Research Centre,"35, H Siddhaiah Road, Wilson Garden, Bangalore-560027Wilson Garden","Few Left, Book Now",Private,9219801195
Agarwal Maternity & General Hospital,"S/N.45/1,2 & 5,Sangarsh Chowk,Kharadi Road,Chandannagar,",Unknown,Unknown,9011383768
Agarwal Medical Centre,"E-234, Greater Kailash, Delhi-110048","Few Left, Book Now",Private,9945365413
Agarwal Nursing Home,"Salarpur Road, Kurukshetra, Haryana",Unknown,Unknown,9525987641
Agarwal Nursing Home,"4Th Floor,Shanti Centre, Plot # 8,Sec-17,Vashi,Navi Mumbai,Vashi, Navi Mumbai-400703","Few Left, Book Now",Private,9580091113
Agash Nursing Home,"#234, G.S.T. Road, Chromepet",Unknown,Unknown,9045041777
Aggarwal Eye Hospital,"No.102/5,Ketayan Mansion,Shahaji Raje Marg,Koldongri,Andheri(E),Sahaje Raje Marg, Koldongri,","Few Left, Book Now",Private,9585401638
Aggarwal Medical Centre,"Jiwan Nagar, Gaunchi, Sector-55. Haryana , Faridabad","Few Left, Book Now",Private,9629811567
Aggarwal Nursing Home,"2528/192,Tri Nagar,Tota Ram Bazar",Unknown,Unknown,9000733498
Agile Hospital Pvt. Ltd,"Tripura Road, Jayanagar Chariali, Guwahati, Kamrup, Assam, Opposite Sbi, Iibm Branch.",Available,Government,9906111251
Agrawal Clinic Surgical & General Hospital With Icu,"49, Daftary Road, Malad (East), Mumbai, Maharashtra, Opp. Subhash Lane.","Few Left, Book Now",Private,9479152142
Agrawal Eye Hospital,61 Shivaji Road Near Nas College,Unknown,Unknown,9651140998
Agrawal Eye Hospital,"1St Floor, Maharaja Apartment, Opp. Tel. Exchange, S.V. Road, Malad (West) Mumbai-400064","Few Left, Book Now",Private,9348074641
Agrawal Eye Institute,"A-235,Shivalik,Malviya Nagar",Unknown,Unknown,9959376805
Agrawal Hospital,"5Th Lane,First Floor,Kilachand Centre,Station Road",Unknown,Unknown,9729961288
Agrawal Hospital,"E-3/15, Opp Habibganj Railway Stn, Arera Colony, Bopal,Mp-462016",Unknown,Unknown,9411726609
Agrawal Hospital (A Unit Of Agrawal Institute Of Medical Sciences Pvt,"Near Rajkumar College, G.E. Road.",Unknown,Unknown,9507256265
Agrawal Nursing Home,"Bombay Market, St.Road, Bhayander West,Bhayander, Thane","Few Left, Book Now",Private,9865167632
Ahalia Foundation Eye Hospital,"1/1053, Elappully.",Unknown,Unknown,9196552808
Ahalya Nursing Home,"Back Side Sivaayam Temple, Kothapet, Guntur, Andhra Pradesh-522002.",Unknown,Unknown,9521144954
Ahalyadevi Nursing Home,"16-1-712, Near Nehru State, Trunk Road.",Unknown,Unknown,9282109000
Ahirkar Hospital,"Near Ratan Cinema Narpoli,Bhiwandi,Thane","Few Left, Book Now",Private,9859783839
Ahmed Hospital,"Sector-15,Part-2.",Unknown,Unknown,9929412509
Ahmed Hospitals,"Gulshan Nagar,Byepass,Nowgam",Unknown,Unknown,9563983731
Ahooja Eye & Dental Institute,"560/1, Dayanand Coloney, New Railway Road",Unknown,Unknown,9788599747
Ahuja Nursing Home & Polyclinic,"Furniture Bazar,Ulhas Nagar,Dass Chambers,1St Floor",Unknown,Unknown,9308736368
Aisha Memorial Hospital (Tsunami Project Only),"Paruthikuzhy, Manacaud",Unknown,Unknown,9171412283
Ajani Hospital,"Sidharaj Jaysingh Marg, Sidhpur",Unknown,Unknown,9415361556
Ajanta Hospital & Ivf Centre Pvt Ltd,"#765, Near Krishna Cinema, Kanpur Road, Alambagh.",Limited Seats,Municipal,9320436818
Ajay Hospital,"Bhopal Vihar, Garh Road, (Near -Radha Govind Engineering College), Meerut, Uttar Pradesh",Limited Seats,Municipal,9067125783
Ajay Medical Centre,Near Bus Stand Chellakere,Unknown,Unknown,9548039095
Ajay Pratima Hospital,"57, Brijlok, Near Prem Nagar Dharam Kanta Bareilly",Unknown,Unknown,9374034002
Ajit Surgical & Maternity Home,"Chikkodi Road,Raibag",Unknown,Unknown,9969174615
Ajmer Hospital,"# 158/X,Civil Lanes, Ajmer-305006.",Unknown,Unknown,9611519726
Ajwani Eye Hospital Pvt. Ltd.,"# 115, Berasia Road, Bh0Pal Sindhi Colony, Bhopal-462018",Unknown,Unknown,9068364368
Ak Hospital,"360 Poonamallee High Road,Junction Of Ph Rd &",Unknown,Unknown,9129873483
Akanksha Maternity & Surgical Hospital,"6, Manish Tower, Manish Nagar, J P Road, Ahdheri(W)J.P. Road, Andheri (W)","Few Left, Book Now",Private,9000430663
Akansha Orthopedic Centre,"5-A-2, Vigyan Nagar.",Unknown,Unknown,9260319692
Akar Hospital,"Ramkrishna Nagar Main Road, Virani School Chowk.",Unknown,Unknown,9742470049
Akilesh Orthopaedics Hospitals,"95-97, Sasthiri Road, Rammagar.",Unknown,Unknown,9562282405
Akira Eye Hospital,"Aryapuram,Rajahmundry",Unknown,Unknown,9506737599
Akshar Eye Hospital,"Kandhari Apartment, Opp S.T. Work Shop,Patia, Naroda Road.",Unknown,Unknown,9824741503
Akshar Surgical Hospital,"2Nd Floor, Vidita Avenue, Near Jayhind,Char Rasta, Maninagar.",Unknown,Unknown,9807681326
Akshardeep Orthopaedic Hospital,"2Nd Floor, Shubh Complex, Near Rajasthan Hospital, Shahibaugnr. Rajasthan Hospital,",Unknown,Unknown,9668363579
Akshare Eye Foundation,"#6052 Railway Station Road,Opp Town Hall",Unknown,Unknown,9093115872
Akshay Eye Clinic,"#842,Mahatma Gandhi Road,Panvel",Unknown,Government,9230083404
Akshay Hospital,"M.P. Nagar,",Unknown,Unknown,9332662396
Akshay Hospital,"2Nd Cross, Ashoknagar",Unknown,Unknown,9852733236
Akshay Mallya Hospital,"Varthur Main Road,Marathalli",Unknown,Unknown,9359575221
Akshay Medical Foundation,"204/G Ward,Mg Roadlonawala",Unknown,Unknown,9997936109
Akshaya Care Multi Speciality Hospital,"#11-3-267/13, Near Raghava Gardens, Madhura Nagar, Srinivasanagar, Parsigutta,",Unknown,Unknown,9591454361
Akshaya Heart Hospital,"Rishi Nagar, Char Imli, Opp Ekant Park.Bhopal, Madhya Pradesh",Unknown,Unknown,9628772444
Akshaya Nethralaya,"#227/A,Vidyagiri Layout N Exit O Axis Bank Nagarbhavi Circle,Bangalore","Few Left, Book Now",Private,9611827798
Akshaya Nursing Home,"3Dr Cross Gowripet, Kolar",Unknown,Unknown,9428971413
Akshayjyot Eye Hospial,"Yashowardhan,Mutthe Layout.",Unknown,Unknown,9694329714
Akshi Eye Care Centre,"2/344-A, Azad Nagar,Kanpur-200002.",Limited Seats,Municipal,9337917233
Akshitha Hospitals,"H.No.11-32/6,Mahavir Enclave Phase-Ii,Shashabad",Unknown,Unknown,9744824975
Al Salama Eye Hospital,Arayidathu Palam Jn By Pass Road Kozhikode,Unknown,Unknown,9090762934
Al Salama Eye Hospital Ltd,"55/5,Hospital Road,Perinthalmanna,Malapuram",Unknown,Unknown,9820955389
Al Shifa Hospital Pvt Ltd,"Pb No. 26, Ooty Road Perintalmannaooty Road",Unknown,Unknown,9128540564
Al-Arif Hospital,"Tc-48/659,Ambalathara,Poonthura Post,Near Milma Diary",Unknown,Unknown,9347838310
Alam Hospital & Research Centre,"Booty Road, Bariatu.",Unknown,Unknown,9039058977
Alapati Nursing Home,"Gopalreddy Street, Ganganammapet.",Unknown,Unknown,9037889388
Alatkar Hospital,"Bhosale Garden,Opp 111 Bus Stop,Pune Solapur Road","Few Left, Book Now",Private,9154958559
Alchemist Hospitals Ltd,"Sector 21,Near Main Market",Unknown,Unknown,9337211329
Alchemist Institute Of Medical Science,Sector 53 Saraswatikunj Dlf Golf Course Road Gurgaon,"Few Left, Book Now",Private,9739490096
Alexander Eye Centre,"34/629A,A1,B,",Unknown,Unknown,9233387064
Alhat Nursing Home,"Hira-Ratan Plaza,Pune Nashik Highway Pmt Chowk,Bhosari","Few Left, Book Now",Private,9992617887
All Asia Medical Institute (A Unit Of Harsh Medical Centre Pvt Ltd).,8B Garcha First Lane,Unknown,Unknown,9579295167
Alled Hospital Limited (Tsunami Project Only),"2/333,Guruvayoor Road,",Unknown,Unknown,9768217454
Alliance Hospital,"C-20/1-73,Ramakant Nagar Colony, Varanasi, Uttar Pradesh",Limited Seats,Municipal,9711417837
Alluri Sitarama Raju Academy Of Medical Sciences,"Malkapuram, Eluru Nh-5, Malkapuram.",Unknown,Unknown,9754377648
Almas Hospital,"Changuvetty,Kottakal,Malappuram,",Unknown,Unknown,9102855424
Alok Hospital,"1-A-5, Sheela Choudhary Road",Unknown,Unknown,9568368924
Alpha Ent Head And Neck Research Institute And Hospital,"Opp To Bsnl Tower,Deshabhimani Road,Kaloor,Ernakulam",Unknown,Unknown,9331781771
Alpha Medical Services (Pvt) Ltd,"21/1, Dobson Road Howrahmaulana Abul Kalam Azad Rd",Unknown,Unknown,9625076432
Alpha Medical Services Pvt Ltd,"#13, Lalalajpat Rai Sarani Elgin Road.",Unknown,Unknown,9395892426
Alpha Super Speciality Hospital,"23-1-863. Bsides Mch Swimming Pool, Moghalpura.",Unknown,Unknown,9914521338
Alphonsa Hospital,"Chruch,Karukutty",Unknown,Unknown,9785037161
Alps Hospital (Max Hospital),"Block B, Sushant Lok Phase-1,Next To Park Plaza Hotel",Unknown,Unknown,9546808827
Altec Laser & Superspeciality Hospital,B-2 Ranjit Avenue Amritsar,Available,Government,9373647144
Altius Healthcare Pvt Ltd,"A-6, Pushpanjali Enclave,Pitampurapithampura New Delhi","Few Left, Book Now",Private,9770221981
Altius Healthcare Pvt Ltd,"#1,Gulshan Park, Main Rohtak Road, Mangloi-110041",Unknown,Unknown,9816120521
Alva Hospital Pvt Ltd,"74/A2, Meenkarai Road,Pollachi Coimbatore",Available,Government,9613944348
Amala Cancer Hospital & Research Centre,"Amalanagar, Trissur,Kerala-680555.",Unknown,Unknown,9778644400
Amar Leela Hospital (P) Ltd,"B-1/6, Janak Puri,Main Najafgarh Roadmain Najafgarh Road,",Unknown,Unknown,9100691043
Amar Medical & Research Centre,"Kiran Path,Mansarover",Unknown,Unknown,9892250075
Amar Orthopaedic Hospital,"13-2-12, 1St Line Gunturuvari Thota, Guntur-522001",Unknown,Unknown,9405637296
Amaravathi Hospital,"#74, Ramanujam Nagar, Kovai Road, Karur, Tamilnadu.",Unknown,Unknown,9632019988
Amaravathi Institute Of Medical Sciences Pvt Ltd,"Old Club Road, Kothapeta.Oldclub Road Guntur",Unknown,Unknown,9039132663
Amarawati Hospital,"Saraswati Enclave Near Power House, Opp. Sec. 10A, Gurgaon-122001, Haryana","Few Left, Book Now",Private,9029883075
Amardeep Eye Care,"Tc 5/608, Gnp.2, Nalini Vilas, Thiruvananthapuram, Kerala",Unknown,Unknown,9833384966
Amardeep Nursing Home,"101 Ratna Tarang, Old Nagardas Road, Andheri (E)Old Nagardas Road,Andheri (E)","Few Left, Book Now",Private,9261325370
Ambaa Hospitals,"#9-1-29/23,Opp To Pratap Theatre,Lunger House",Unknown,Unknown,9449435424
Ambay Hospital,"1, Lajpat Nagar, Near St. Thomas School.",Unknown,Unknown,9758705687
Ambika Hospital,"Murarji Peth, Solapur-413002.",Unknown,Unknown,9314151248
Amee Deep Hospital,"Gf-12, Narsinhadham Complex, Opp Sangam Bus Stop, Harni Road.",Unknown,Unknown,9570234672
